CourseID,CourseName,DepartmentID,Credits,TeacherID
COURSE1,Course 1,DEPT003,2,TCH001
COURSE2,Course 2,DEPT004,4,TCH012
COURSE3,Course 3,DEPT002,2,TCH023
COURSE4,Course 4,DEPT001,4,TCH034
COURSE5,Course 5,DEPT003,4,TCH045
COURSE6,Course 6,DEPT002,2,TCH047
COURSE7,Course 7,DEPT003,4,TCH048
COURSE8,Course 8,DEPT004,3,TCH049
COURSE9,Course 9,DEPT001,1,TCH050
COURSE10,Course 10,DEPT001,3,TCH002
COURSE11,Course 11,DEPT001,2,TCH003
COURSE12,Course 12,DEPT003,1,TCH004
COURSE13,Course 13,DEPT004,2,TCH005
COURSE14,Course 14,DEPT002,4,TCH006
COURSE15,Course 15,DEPT001,1,TCH007
COURSE16,Course 16,DEPT001,4,TCH008
COURSE17,Course 17,DEPT004,1,TCH009
COURSE18,Course 18,DEPT004,3,TCH010
COURSE19,Course 19,DEPT001,4,TCH011
COURSE20,Course 20,DEPT002,1,TCH013
COURSE21,Course 21,DEPT002,4,TCH014
COURSE22,Course 22,DEPT001,2,TCH015
COURSE23,Course 23,DEPT002,1,TCH016
COURSE24,Course 24,DEPT004,4,TCH017
COURSE25,Course 25,DEPT001,1,TCH018
COURSE26,Course 26,DEPT001,2,TCH019
COURSE27,Course 27,DEPT001,2,TCH020
COURSE28,Course 28,DEPT004,1,TCH021
COURSE29,Course 29,DEPT003,1,TCH022
COURSE30,Course 30,DEPT002,3,TCH024
COURSE31,Course 31,DEPT002,1,TCH025
COURSE32,Course 32,DEPT002,4,TCH026
COURSE33,Course 33,DEPT001,4,TCH027
COURSE34,Course 34,DEPT003,3,TCH028
COURSE35,Course 35,DEPT002,4,TCH029
COURSE36,Course 36,DEPT002,4,TCH030
COURSE37,Course 37,DEPT001,4,TCH031
COURSE38,Course 38,DEPT004,2,TCH032
COURSE39,Course 39,DEPT004,2,TCH033
COURSE40,Course 40,DEPT004,2,TCH035
COURSE41,Course 41,DEPT001,2,TCH036
COURSE42,Course 42,DEPT001,3,TCH037
COURSE43,Course 43,DEPT004,3,TCH038
COURSE44,Course 44,DEPT003,3,TCH039
COURSE45,Course 45,DEPT002,4,TCH040
COURSE46,Course 46,DEPT004,3,TCH041
COURSE47,Course 47,DEPT003,2,TCH042
COURSE48,Course 48,DEPT002,3,TCH043
COURSE49,Course 49,DEPT002,4,TCH044
COURSE50,Course 50,DEPT002,4,TCH046
