EnrollmentID,StudentID,CourseID,Semester,Year,MidtermScore,FinalScore,TotalScore,LetterGrade
1,1039,COURSE47,Spring,2019,3.4,1.9,2.5,F
2,1053,COURSE3,Spring,2022,5.5,6.3,5.98,C
3,1369,COURSE27,Spring,2022,7.9,7.6,7.72,B
4,1202,COURSE22,Summer,2020,5.5,5.0,5.2,D
5,1163,COURSE43,Fall,2020,6.0,6.1,6.06,C
6,1307,COURSE26,Spring,2019,7.2,8.1,7.74,B
7,1474,COURSE38,Summer,2020,2.9,1.2,1.88,F
8,1031,COURSE50,Spring,2020,5.8,6.6,6.28,C
9,1340,COURSE38,Spring,2023,2.4,1.5,1.86,F
10,1374,COURSE16,Spring,2022,8.8,9.3,9.1,A
11,1496,COURSE26,Fall,2023,7.8,8.3,8.1,B
12,1197,COURSE38,Spring,2024,6.4,6.4,6.4,C
13,1374,COURSE23,Spring,2019,7.9,7.5,7.66,B
14,1493,COURSE31,Fall,2023,8.4,8.8,8.64,A
15,1039,COURSE9,Summer,2022,8.2,9.4,8.92,A
16,1001,COURSE18,Spring,2021,6.7,7.7,7.3,B
17,1139,COURSE13,Fall,2019,7.4,7.7,7.58,B
18,1365,COURSE18,Fall,2022,8.6,9.0,8.84,A
19,1106,COURSE28,Summer,2020,2.9,3.7,3.38,F
20,1117,COURSE19,Summer,2024,8.4,7.8,8.04,B
21,1321,COURSE11,Fall,2023,7.7,7.2,7.4,B
22,1351,COURSE6,Fall,2023,4.1,4.6,4.4,D
23,1446,COURSE10,Spring,2020,9.7,8.9,9.22,A
24,1335,COURSE27,Fall,2021,6.0,7.0,6.6,C
25,1234,COURSE2,Summer,2020,4.5,4.9,4.74,D
26,1420,COURSE46,Fall,2019,5.2,6.7,6.1,C
27,1039,COURSE49,Summer,2020,6.2,6.3,6.26,C
28,1458,COURSE35,Fall,2022,8.4,9.0,8.76,A
29,1256,COURSE46,Summer,2020,8.5,9.5,9.1,A
30,1405,COURSE17,Fall,2019,5.3,4.8,5.0,D
31,1387,COURSE49,Spring,2019,7.8,7.9,7.86,B
32,1114,COURSE18,Fall,2020,3.2,3.0,3.08,F
33,1055,COURSE41,Spring,2021,3.7,1.2,2.2,F
34,1060,COURSE24,Spring,2023,9.4,8.9,9.1,A
35,1316,COURSE41,Spring,2021,5.4,6.4,6.0,C
36,1271,COURSE17,Fall,2020,2.2,3.7,3.1,F
37,1314,COURSE13,Summer,2024,9.1,9.6,9.4,A
38,1388,COURSE18,Summer,2022,7.5,9.4,8.64,A
39,1180,COURSE25,Summer,2019,6.1,5.7,5.86,C
40,1103,COURSE34,Spring,2022,7.9,9.5,8.86,A
41,1245,COURSE4,Fall,2019,2.6,3.1,2.9,F
42,1109,COURSE26,Spring,2021,8.9,9.1,9.02,A
43,1400,COURSE31,Fall,2021,9.8,9.8,9.8,A
44,1003,COURSE18,Summer,2020,5.7,5.6,5.64,C
45,1319,COURSE36,Fall,2020,4.1,4.6,4.4,D
46,1325,COURSE30,Fall,2019,9.3,10.0,9.72,A
47,1426,COURSE30,Spring,2019,5.7,6.6,6.24,C
48,1050,COURSE42,Spring,2020,7.7,8.0,7.88,B
49,1333,COURSE47,Summer,2019,3.8,4.6,4.28,D
50,1271,COURSE18,Spring,2019,8.1,9.0,8.64,A
51,1370,COURSE24,Summer,2024,4.5,5.0,4.8,D
52,1243,COURSE33,Fall,2023,6.7,7.2,7.0,B
53,1430,COURSE41,Fall,2023,4.1,5.0,4.64,D
54,1456,COURSE10,Fall,2023,8.2,7.8,7.96,B
55,1151,COURSE48,Summer,2024,6.7,6.1,6.34,C
56,1439,COURSE33,Spring,2019,5.6,6.0,5.84,C
57,1324,COURSE43,Spring,2024,3.8,5.2,4.64,D
58,1293,COURSE39,Summer,2019,7.2,7.8,7.56,B
59,1427,COURSE42,Fall,2023,8.9,9.3,9.14,A
60,1249,COURSE46,Summer,2020,7.5,10.0,9.0,A
61,1196,COURSE27,Summer,2022,6.8,5.8,6.2,C
62,1333,COURSE44,Fall,2020,2.6,2.6,2.6,F
63,1169,COURSE38,Fall,2022,5.3,5.5,5.42,D
64,1149,COURSE45,Fall,2021,8.1,9.3,8.82,A
65,1117,COURSE6,Fall,2019,5.1,4.6,4.8,D
66,1043,COURSE12,Spring,2019,8.0,7.2,7.52,B
67,1448,COURSE5,Spring,2024,6.2,6.8,6.56,C
68,1414,COURSE24,Spring,2023,8.5,7.1,7.66,B
69,1267,COURSE41,Spring,2022,7.4,7.3,7.34,B
70,1458,COURSE2,Summer,2020,8.6,9.3,9.02,A
71,1340,COURSE27,Fall,2024,6.7,7.4,7.12,B
72,1126,COURSE34,Summer,2023,5.4,4.9,5.1,D
73,1245,COURSE20,Summer,2020,4.4,5.1,4.82,D
74,1249,COURSE32,Spring,2023,9.4,8.6,8.92,A
75,1138,COURSE37,Spring,2024,4.9,5.3,5.14,D
76,1178,COURSE49,Summer,2023,3.8,5.2,4.64,D
77,1039,COURSE24,Spring,2020,2.6,1.9,2.18,F
78,1169,COURSE31,Summer,2022,3.3,1.3,2.1,F
79,1104,COURSE9,Spring,2022,3.3,3.7,3.54,F
80,1019,COURSE26,Fall,2023,7.9,7.7,7.78,B
81,1196,COURSE22,Summer,2024,8.6,9.6,9.2,A
82,1163,COURSE3,Spring,2019,7.6,7.1,7.3,B
83,1359,COURSE1,Summer,2024,7.7,8.2,8.0,B
84,1162,COURSE18,Fall,2021,8.3,9.9,9.26,A
85,1407,COURSE39,Spring,2020,9.4,9.4,9.4,A
86,1279,COURSE41,Spring,2024,6.5,5.6,5.96,C
87,1309,COURSE12,Fall,2024,5.2,5.2,5.2,D
88,1143,COURSE37,Spring,2024,6.8,5.7,6.14,C
